ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
212,Ô,00D4,,U+00D4,Ô,c3 94,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
213,Õ,00D5,,U+00D5,Õ,c3 95,LATIN CAPITAL LETTER O WITH TILDE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
214,Ö,00D6,,U+00D6,Ö,c3 96,LATIN CAPITAL LETTER O WITH DIAERESIS,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
216,Ø,00D8,,U+00D8,Ø,c3 98,LATIN CAPITAL LETTER O WITH STROKE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
217,Ù,00D9,,U+00D9,Ù,c3 99,LATIN CAPITAL LETTER U WITH GRAVE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
218,Ú,00DA,,U+00DA,Ú,c3 9a,LATIN CAPITAL LETTER U WITH ACUTE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
219,Û,00DB,,U+00DB,Û,c3 9b,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
220,Ü,00DC,,U+00DC,Ü,c3 9c,LATIN CAPITAL LETTER U WITH DIAERESIS,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
221,Ý,00DD,,U+00DD,Ý,c3 9d,LATIN CAPITAL LETTER Y WITH ACUTE,,U+0059,Y,59,LATIN CAPITAL LETTER Y,,,,,,,,,,
224,à,00E0,,U+00E0,à,c3 a0,LATIN SMALL LETTER A WITH GRAVE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
225,á,00E1,,U+00E1,á,c3 a1,LATIN SMALL LETTER A WITH ACUTE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
226,â,00E2,,U+00E2,â,c3 a2,LATIN SMALL LETTER A WITH CIRCUMFLEX,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
227,ã,00E3,,U+00E3,ã,c3 a3,LATIN SMALL LETTER A WITH TILDE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
228,ä,00E4,,U+00E4,ä,c3 a4,LATIN SMALL LETTER A WITH DIAERESIS,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
229,å,00E5,,U+00E5,å,c3 a5,LATIN SMALL LETTER A WITH RING ABOVE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
231,ç,00E7,,U+00E7,ç,c3 a7,LATIN SMALL LETTER C WITH CEDILLA,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,
232,è,00E8,,U+00E8,è,c3 a8,LATIN SMALL LETTER E WITH GRAVE,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
233,é,00E9,,U+00E9,é,c3 a9,LATIN SMALL LETTER E WITH ACUTE,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
234,ê,00EA,,U+00EA,ê,c3 aa,LATIN SMALL LETTER E WITH CIRCUMFLEX,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
235,ë,00EB,,U+00EB,ë,c3 ab,LATIN SMALL LETTER E WITH DIAERESIS,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
236,ì,00EC,,U+00EC,ì,c3 ac,LATIN SMALL LETTER I WITH GRAVE,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
237,í,00ED,,U+00ED,í,c3 ad,LATIN SMALL LETTER I WITH ACUTE,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
238,î,00EE,,U+00EE,î,c3 ae,LATIN SMALL LETTER I WITH CIRCUMFLEX,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
239,ï,00EF,,U+00EF,ï,c3 af,LATIN SMALL LETTER I WITH DIAERESIS,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
240,ð,00F0,,U+00F0,ð,c3 b0,LATIN SMALL LETTER ETH,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
241,ñ,00F1,,U+00F1,ñ,c3 b1,LATIN SMALL LETTER N WITH TILDE,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,
242,ò,00F2,,U+00F2,ò,c3 b2,LATIN SMALL LETTER O WITH GRAVE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
243,ó,00F3,,U+00F3,ó,c3 b3,LATIN SMALL LETTER O WITH ACUTE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
244,ô,00F4,,U+00F4,ô,c3 b4,LATIN SMALL LETTER O WITH CIRCUMFLEX,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
245,õ,00F5,,U+00F5,õ,c3 b5,LATIN SMALL LETTER O WITH TILDE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
246,ö,00F6,,U+00F6,ö,c3 b6,LATIN SMALL LETTER O WITH DIAERESIS,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
248,ø,00F8,,U+00F8,ø,c3 b8,LATIN SMALL LETTER O WITH STROKE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
249,ù,00F9,,U+00F9,ù,c3 b9,LATIN SMALL LETTER U WITH GRAVE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
250,ú,00FA,,U+00FA,ú,c3 ba,LATIN SMALL LETTER U WITH ACUTE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
251,û,00FB,,U+00FB,û,c3 bb,LATIN SMALL LETTER U WITH CIRCUMFLEX,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
252,ü,00FC,,U+00FC,ü,c3 bc,LATIN SMALL LETTER U WITH DIAERESIS,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
253,ý,00FD,,U+00FD,ý,c3 bd,LATIN SMALL LETTER Y WITH ACUTE,,U+0079,y,79,LATIN SMALL LETTER Y,,,,,,,,,,
255,ÿ,00FF,,U+00FF,ÿ,c3 bf,LATIN SMALL LETTER Y WITH DIAERESIS,,U+0079,y,79,LATIN SMALL LETTER Y,,,,,,,,,,
,<end of ISO-8859-1 character set>,,,U+0100,Ā,c4 80,LATIN CAPITAL LETTER A WITH MACRON,Latin Extended-A,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
,,,,U+0101,ā,c4 81,LATIN SMALL LETTER A WITH MACRON,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
,,,,U+0102,Ă,c4 82,LATIN CAPITAL LETTER A WITH BREVE,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
,,,,U+0103,ă,c4 83,LATIN SMALL LETTER A WITH BREVE,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
,,,,U+0104,Ą,c4 84,LATIN CAPITAL LETTER A WITH OGONEK,,U+0041,A,41,LATIN CAPITAL LETTER A,,,,,,,,,,
,,,,U+0105,ą,c4 85,LATIN SMALL LETTER A WITH OGONEK,,U+0061,a,61,LATIN SMALL LETTER A,,,,,,,,,,
,,,,U+0106,Ć,c4 86,LATIN CAPITAL LETTER C WITH ACUTE,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,
,,,,U+0107,ć,c4 87,LATIN SMALL LETTER C WITH ACUTE,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,
,,,,U+0108,Ĉ,c4 88,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,
,,,,U+0109,ĉ,c4 89,LATIN SMALL LETTER C WITH CIRCUMFLEX,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,
,,,,U+010A,Ċ,c4 8a,LATIN CAPITAL LETTER C WITH DOT ABOVE,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,
,,,,U+010B,ċ,c4 8b,LATIN SMALL LETTER C WITH DOT ABOVE,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,
,,,,U+010C,Č,c4 8c,LATIN CAPITAL LETTER C WITH CARON,,U+0043,C,43,LATIN CAPITAL LETTER C,,,,,,,,,,
,,,,U+010D,č,c4 8d,LATIN SMALL LETTER C WITH CARON,,U+0063,c,63,LATIN SMALL LETTER C,,,,,,,,,,
,,,,U+010E,Ď,c4 8e,LATIN CAPITAL LETTER D WITH CARON,,U+0044,D,44,LATIN CAPITAL LETTER D,,,,,,,,,,
,,,,U+010F,ď,c4 8f,LATIN SMALL LETTER D WITH CARON,,U+0064,d,64,LATIN SMALL LETTER D,,,,,,,,,,
,,,,U+0110,Đ,c4 90,LATIN CAPITAL LETTER D WITH STROKE,,U+0044,D,44,LATIN CAPITAL LETTER D,,,,,,,,,,
,,,,U+0111,đ,c4 91,LATIN SMALL LETTER D WITH STROKE,,U+0064,d,64,LATIN SMALL LETTER D,,,,,,,,,,
,,,,U+0112,Ē,c4 92,LATIN CAPITAL LETTER E WITH MACRON,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
,,,,U+0113,ē,c4 93,LATIN SMALL LETTER E WITH MACRON,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
,,,,U+0114,Ĕ,c4 94,LATIN CAPITAL LETTER E WITH BREVE,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
,,,,U+0115,ĕ,c4 95,LATIN SMALL LETTER E WITH BREVE,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
,,,,U+0116,Ė,c4 96,LATIN CAPITAL LETTER E WITH DOT ABOVE,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
,,,,U+0117,ė,c4 97,LATIN SMALL LETTER E WITH DOT ABOVE,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
,,,,U+0118,Ę,c4 98,LATIN CAPITAL LETTER E WITH OGONEK,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
,,,,U+0119,ę,c4 99,LATIN SMALL LETTER E WITH OGONEK,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
,,,,U+011A,Ě,c4 9a,LATIN CAPITAL LETTER E WITH CARON,,U+0045,E,45,LATIN CAPITAL LETTER E,,,,,,,,,,
,,,,U+011B,ě,c4 9b,LATIN SMALL LETTER E WITH CARON,,U+0065,e,65,LATIN SMALL LETTER E,,,,,,,,,,
,,,,U+011C,Ĝ,c4 9c,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,,U+0047,G,47,LATIN CAPITAL LETTER G,,,,,,,,,,
,,,,U+011D,ĝ,c4 9d,LATIN SMALL LETTER G WITH CIRCUMFLEX,,U+0067,g,67,LATIN SMALL LETTER G,,,,,,,,,,
,,,,U+011E,Ğ,c4 9e,LATIN CAPITAL LETTER G WITH BREVE,,U+0047,G,47,LATIN CAPITAL LETTER G,,,,,,,,,,
,,,,U+011F,ğ,c4 9f,LATIN SMALL LETTER G WITH BREVE,,U+0067,g,67,LATIN SMALL LETTER G,,,,,,,,,,
,,,,U+0120,Ġ,c4 a0,LATIN CAPITAL LETTER G WITH DOT ABOVE,,U+0047,G,47,LATIN CAPITAL LETTER G,,,,,,,,,,
,,,,U+0121,ġ,c4 a1,LATIN SMALL LETTER G WITH DOT ABOVE,,U+0067,g,67,LATIN SMALL LETTER G,,,,,,,,,,
,,,,U+0122,Ģ,c4 a2,LATIN CAPITAL LETTER G WITH CEDILLA,,U+0047,G,47,LATIN CAPITAL LETTER G,,,,,,,,,,
,,,,U+0123,ģ,c4 a3,LATIN SMALL LETTER G WITH CEDILLA,,U+0067,g,67,LATIN SMALL LETTER G,,,,,,,,,,
,,,,U+0124,Ĥ,c4 a4,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,,U+0048,H,48,LATIN CAPITAL LETTER H,,,,,,,,,,
,,,,U+0125,ĥ,c4 a5,LATIN SMALL LETTER H WITH CIRCUMFLEX,,U+0068,h,68,LATIN SMALL LETTER H,,,,,,,,,,
,,,,U+0126,Ħ,c4 a6,LATIN CAPITAL LETTER H WITH STROKE,,U+0048,H,48,LATIN CAPITAL LETTER H,,,,,,,,,,
,,,,U+0127,ħ,c4 a7,LATIN SMALL LETTER H WITH STROKE,,U+0068,h,68,LATIN SMALL LETTER H,,,,,,,,,,
,,,,U+0128,Ĩ,c4 a8,LATIN CAPITAL LETTER I WITH TILDE,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
,,,,U+0129,ĩ,c4 a9,LATIN SMALL LETTER I WITH TILDE,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
,,,,U+012A,Ī,c4 aa,LATIN CAPITAL LETTER I WITH MACRON,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
,,,,U+012B,ī,c4 ab,LATIN SMALL LETTER I WITH MACRON,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
,,,,U+012C,Ĭ,c4 ac,LATIN CAPITAL LETTER I WITH BREVE,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
,,,,U+012D,ĭ,c4 ad,LATIN SMALL LETTER I WITH BREVE,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
,,,,U+012E,Į,c4 ae,LATIN CAPITAL LETTER I WITH OGONEK,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
,,,,U+012F,į,c4 af,LATIN SMALL LETTER I WITH OGONEK,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
,,,,U+0130,İ,c4 b0,LATIN CAPITAL LETTER I WITH DOT ABOVE,,U+0049,I,49,LATIN CAPITAL LETTER I,,,,,,,,,,
,,,,U+0131,ı,c4 b1,LATIN SMALL LETTER DOTLESS I,,U+0069,i,69,LATIN SMALL LETTER I,,,,,,,,,,
,,,,U+0134,Ĵ,c4 b4,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,,U+004A,J,4a,LATIN CAPITAL LETTER J,,,,,,,,,,
,,,,U+0135,ĵ,c4 b5,LATIN SMALL LETTER J WITH CIRCUMFLEX,,U+006A,j,6a,LATIN SMALL LETTER J,,,,,,,,,,
,,,,U+0136,Ķ,c4 b6,LATIN CAPITAL LETTER K WITH CEDILLA,,U+004B,K,4b,LATIN CAPITAL LETTER K,,,,,,,,,,
,,,,U+0137,ķ,c4 b7,LATIN SMALL LETTER K WITH CEDILLA,,U+006B,k,6b,LATIN SMALL LETTER K,,,,,,,,,,
,,,,U+0138,ĸ,c4 b8,LATIN SMALL LETTER KRA,,U+006B,k,6b,LATIN SMALL LETTER K,,,,,,,,,,
,,,,U+0139,Ĺ,c4 b9,LATIN CAPITAL LETTER L WITH ACUTE,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,
,,,,U+013A,ĺ,c4 ba,LATIN SMALL LETTER L WITH ACUTE,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,
,,,,U+013B,Ļ,c4 bb,LATIN CAPITAL LETTER L WITH CEDILLA,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,
,,,,U+013C,ļ,c4 bc,LATIN SMALL LETTER L WITH CEDILLA,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,
,,,,U+013D,Ľ,c4 bd,LATIN CAPITAL LETTER L WITH CARON,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,
,,,,U+013E,ľ,c4 be,LATIN SMALL LETTER L WITH CARON,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,
,,,,U+013F,Ŀ,c4 bf,LATIN CAPITAL LETTER L WITH MIDDLE DOT,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,
,,,,U+0140,ŀ,c5 80,LATIN SMALL LETTER L WITH MIDDLE DOT,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,
,,,,U+0141,Ł,c5 81,LATIN CAPITAL LETTER L WITH STROKE,,U+004C,L,4c,LATIN CAPITAL LETTER L,,,,,,,,,,
,,,,U+0142,ł,c5 82,LATIN SMALL LETTER L WITH STROKE,,U+006C,l,6c,LATIN SMALL LETTER L,,,,,,,,,,
,,,,U+0143,Ń,c5 83,LATIN CAPITAL LETTER N WITH ACUTE,,U+004E,N,4e,LATIN CAPITAL LETTER N,,,,,,,,,,
,,,,U+0144,ń,c5 84,LATIN SMALL LETTER N WITH ACUTE,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,
,,,,U+0145,Ņ,c5 85,LATIN CAPITAL LETTER N WITH CEDILLA,,U+004E,N,4e,LATIN CAPITAL LETTER N,,,,,,,,,,
,,,,U+0146,ņ,c5 86,LATIN SMALL LETTER N WITH CEDILLA,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,
,,,,U+0147,Ň,c5 87,LATIN CAPITAL LETTER N WITH CARON,,U+004E,N,4e,LATIN CAPITAL LETTER N,,,,,,,,,,
,,,,U+0148,ň,c5 88,LATIN SMALL LETTER N WITH CARON,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,
,,,,U+0149,ŉ,c5 89,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,,U+006E,n,6e,LATIN SMALL LETTER N,,,,,,,,,,
,,,,U+014C,Ō,c5 8c,LATIN CAPITAL LETTER O WITH MACRON,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
,,,,U+014D,ō,c5 8d,LATIN SMALL LETTER O WITH MACRON,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
,,,,U+014E,Ŏ,c5 8e,LATIN CAPITAL LETTER O WITH BREVE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
,,,,U+014F,ŏ,c5 8f,LATIN SMALL LETTER O WITH BREVE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
,,,,U+0150,Ő,c5 90,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,,U+004F,O,4f,LATIN CAPITAL LETTER O,,,,,,,,,,
,,,,U+0151,ő,c5 91,LATIN SMALL LETTER O WITH DOUBLE ACUTE,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,
,,,,U+0154,Ŕ,c5 94,LATIN CAPITAL LETTER R WITH ACUTE,,U+0052,R,52,LATIN CAPITAL LETTER R,,,,,,,,,,
,,,,U+0155,ŕ,c5 95,LATIN SMALL LETTER R WITH ACUTE,,U+0072,r,72,LATIN SMALL LETTER R,,,,,,,,,,
,,,,U+0156,Ŗ,c5 96,LATIN CAPITAL LETTER R WITH CEDILLA,,U+0052,R,52,LATIN CAPITAL LETTER R,,,,,,,,,,
,,,,U+0157,ŗ,c5 97,LATIN SMALL LETTER R WITH CEDILLA,,U+0072,r,72,LATIN SMALL LETTER R,,,,,,,,,,
,,,,U+0158,Ř,c5 98,LATIN CAPITAL LETTER R WITH CARON,,U+0052,R,52,LATIN CAPITAL LETTER R,,,,,,,,,,
,,,,U+0159,ř,c5 99,LATIN SMALL LETTER R WITH CARON,,U+0072,r,72,LATIN SMALL LETTER R,,,,,,,,,,
,,,,U+015A,Ś,c5 9a,LATIN CAPITAL LETTER S WITH ACUTE,,U+0053,S,53,LATIN CAPITAL LETTER S,,,,,,,,,,
,,,,U+015B,ś,c5 9b,LATIN SMALL LETTER S WITH ACUTE,,U+0073,s,73,LATIN SMALL LETTER S,,,,,,,,,,
,,,,U+015C,Ŝ,c5 9c,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,,U+0053,S,53,LATIN CAPITAL LETTER S,,,,,,,,,,
,,,,U+015D,ŝ,c5 9d,LATIN SMALL LETTER S WITH CIRCUMFLEX,,U+0073,s,73,LATIN SMALL LETTER S,,,,,,,,,,
,,,,U+015E,Ş,c5 9e,LATIN CAPITAL LETTER S WITH CEDILLA,,U+0053,S,53,LATIN CAPITAL LETTER S,,,,,,,,,,
,,,,U+015F,ş,c5 9f,LATIN SMALL LETTER S WITH CEDILLA,,U+0073,s,73,LATIN SMALL LETTER S,,,,,,,,,,
,,,,U+0160,Š,c5 a0,LATIN CAPITAL LETTER S WITH CARON,,U+0053,S,53,LATIN CAPITAL LETTER S,,,,,,,,,,
,,,,U+0161,š,c5 a1,LATIN SMALL LETTER S WITH CARON,,U+0073,s,73,LATIN SMALL LETTER S,,,,,,,,,,
,,,,U+0162,Ţ,c5 a2,LATIN CAPITAL LETTER T WITH CEDILLA,,U+0054,T,54,LATIN CAPITAL LETTER T,,,,,,,,,,
,,,,U+0163,ţ,c5 a3,LATIN SMALL LETTER T WITH CEDILLA,,U+0074,t,74,LATIN SMALL LETTER T,,,,,,,,,,
,,,,U+0164,Ť,c5 a4,LATIN CAPITAL LETTER T WITH CARON,,U+0054,T,54,LATIN CAPITAL LETTER T,,,,,,,,,,
,,,,U+0165,ť,c5 a5,LATIN SMALL LETTER T WITH CARON,,U+0074,t,74,LATIN SMALL LETTER T,,,,,,,,,,
,,,,U+0166,Ŧ,c5 a6,LATIN CAPITAL LETTER T WITH STROKE,,U+0054,T,54,LATIN CAPITAL LETTER T,,,,,,,,,,
,,,,U+0167,ŧ,c5 a7,LATIN SMALL LETTER T WITH STROKE,,U+0074,t,74,LATIN SMALL LETTER T,,,,,,,,,,
,,,,U+0168,Ũ,c5 a8,LATIN CAPITAL LETTER U WITH TILDE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+0169,ũ,c5 a9,LATIN SMALL LETTER U WITH TILDE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+016A,Ū,c5 aa,LATIN CAPITAL LETTER U WITH MACRON,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+016B,ū,c5 ab,LATIN SMALL LETTER U WITH MACRON,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+016C,Ŭ,c5 ac,LATIN CAPITAL LETTER U WITH BREVE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+016D,ŭ,c5 ad,LATIN SMALL LETTER U WITH BREVE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+016E,Ů,c5 ae,LATIN CAPITAL LETTER U WITH RING ABOVE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+016F,ů,c5 af,LATIN SMALL LETTER U WITH RING ABOVE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+0170,Ű,c5 b0,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+0171,ű,c5 b1,LATIN SMALL LETTER U WITH DOUBLE ACUTE,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+0172,Ų,c5 b2,LATIN CAPITAL LETTER U WITH OGONEK,,U+0055,U,55,LATIN CAPITAL LETTER U,,,,,,,,,,
,,,,U+0173,ų,c5 b3,LATIN SMALL LETTER U WITH OGONEK,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,
,,,,U+0174,Ŵ,c5 b4,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,,U+0057,W,57,LATIN CAPITAL LETTER W,,,,,,,,,,
,,,,U+0175,ŵ,c5 b5,LATIN SMALL LETTER W WITH CIRCUMFLEX,,U+0077,w,77,LATIN SMALL LETTER W,,,,,,,,,,
,,,,U+0176,Ŷ,c5 b6,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,,U+0059,Y,59,LATIN CAPITAL LETTER Y,,,,,,,,,,
,,,,U+0177,ŷ,c5 b7,LATIN SMALL LETTER Y WITH CIRCUMFLEX,,U+0079,y,79,LATIN SMALL LETTER Y,,,,,,,,,,
,,,,U+0178,Ÿ,c5 b8,LATIN CAPITAL LETTER Y WITH DIAERESIS,,U+0059,Y,59,LATIN CAPITAL LETTER Y,,,,,,,,,,
,,,,U+0179,Ź,c5 b9,LATIN CAPITAL LETTER Z WITH ACUTE,,U+005A,Z,5a,LATIN CAPITAL LETTER Z,,,,,,,,,,
,,,,U+017A,ź,c5 ba,LATIN SMALL LETTER Z WITH ACUTE,,U+007A,z,7a,LATIN SMALL LETTER Z,,,,,,,,,,
,,,,U+017B,Ż,c5 bb,LATIN CAPITAL LETTER Z WITH DOT ABOVE,,U+005A,Z,5a,LATIN CAPITAL LETTER Z,,,,,,,,,,
,,,,U+017C,ż,c5 bc,LATIN SMALL LETTER Z WITH DOT ABOVE,,U+007A,z,7a,LATIN SMALL LETTER Z,,,,,,,,,,
,,,,U+017D,Ž,c5 bd,LATIN CAPITAL LETTER Z WITH CARON,,U+005A,Z,5a,LATIN CAPITAL LETTER Z,,,,,,,,,,
,,,,U+017E,ž,c5 be,LATIN SMALL LETTER Z WITH CARON,,U+007A,z,7a,LATIN SMALL LETTER Z,,,,,,,,,,
,,,,<Proposed end of UTF-8 characters to allow in Landonline>,,,,,,,,,,,,,,,,,,
,,,,"<UTF-8 character set continues for over 110,000 further characters>",,,,,,,,,,,,,,,,,,
